email,first_name,last_name,campaign_id,marketing_message
john.doe@example.com,John,Doe,SPRING2025,Check out our spring collection with 20% off all items!
jane.smith@example.com,Jane,Smith,SPRING2025,Check out our spring collection with 20% off all items!
alex.johnson@example.com,Alex,Johnson,SPRING2025,Check out our spring collection with 20% off all items!
sarah.williams@example.com,Sarah,Williams,SPRING2025,Check out our spring collection with 20% off all items!
michael.brown@example.com,Michael,Brown,SPRING2025,Check out our spring collection with 20% off all items!
emily.davis@example.com,Emily,Davis,SPRING2025,Check out our spring collection with 20% off all items!
david.miller@example.com,David,Miller,SPRING2025,Check out our spring collection with 20% off all items!
emma.wilson@example.com,Emma,Wilson,SPRING2025,Check out our spring collection with 20% off all items!
james.taylor@example.com,James,Taylor,SPRING2025,Check out our spring collection with 20% off all items!
olivia.anderson@example.com,Olivia,Anderson,SPRING2025,Check out our spring collection with 20% off all items!
